,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
92,0.03140454,0.01073067,104,5997,23679,4554,35083,29676,39637
93,0.03442679,0.01006928,89,5199,18726,3575,29350,23925,32925
94,0.03188953,0.009754781,104,6453,25092,4447,37686,31545,42133
95,0.03446418,0.01067554,44,3492,12564,2211,17121,16056,19332
96,0.03311037,0.01063697,61,3738,13999,2207,17152,17737,19359
97,0.035916,0.009323978,104,5379,18571,3456,30641,23950,34097
98,0.0313042,0.009034044,125,8567,33935,4815,44060,42502,48875
99,0.03087122,0.01084259,108,5154,20702,3859,29422,25856,33281
100,0.03141027,0.01040108,142,9991,39442,7005,55675,49433,62680
101,0.02310862,0.01095077,104,5159,27683,4547,34325,32842,38872
102,0.03256194,0.00949473,89,7432,28302,4192,36498,35734,40690
103,0.03289247,0.009825056,108,8925,33646,5497,46251,42571,51748
104,0.03214519,0.009366299,162,10049,38764,6292,55533,48813,61825
105,0.03293408,0.009136625,78,4670,17583,3094,27994,22253,31088
106,0.03567014,0.01017636,44,2679,9313,1645,13363,11992,15008
107,0.03227313,0.008446876,68,4208,16168,2503,24496,20376,26999
108,0.03248713,0.008622225,78,5161,19699,3087,29597,24860,32684
109,0.01094118,0.007266541,52,72,816,93,1058,888,1151
110,0.01175944,0.007898578,68,123,1297,103,1078,1420,1181
111,0.01226921,0.007638,108,197,1991,130,1407,2188,1537
112,0.013462,0.01590123,62,180,1658,322,1674,1838,1996
113,0.01028233,0.02773383,108,840,10130,3215,9583,10970,12798
114,0.03345351,0.009683557,89,4912,18207,3070,26208,23119,29278
115,0.03224248,0.009366317,96,4937,18987,2913,25710,23924,28623
116,0.03214192,0.009040886,61,2294,8850,1629,14895,11144,16524
117,0.0354867,0.01103234,68,3227,11276,2545,19070,14503,21615
118,0.02989738,0.00847036,125,3952,16391,2678,26136,20343,28814
119,0.02716895,0.007706392,61,2975,13578,1839,19727,16553,21566
120,0.03253197,0.009050464,134,7013,26731,4083,37294,33744,41377
121,0.03474194,0.009734866,61,2660,9494,1649,14003,12154,15652
122,0.03205416,0.009433143,96,5899,22820,4096,35895,28719,39991
